Category,Message
ham,go jurong point crazy available bugis n great world la e buffet cine get amore wat
ham,ok lar joking wif u oni
spam,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
ham,u dun say early hor u c already say
ham,nah dont think go usf life around though
spam,freemsg hey darling 3 week word back id like fun still tb ok xxx std chgs send £150 rcv
ham,even brother like speak treat like aid patent
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
spam,winner value network customer select receivea £900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
spam,mobile 11 month u r entitle update late colour mobile camera free call mobile update co free 08002986030
ham,im gon na home soon dont want talk stuff anymore tonight k ive cry enough today
spam,six chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
spam,urgent 1 week free membership £100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ham,ive search right word thank breather promise wont take help grant fulfil promise wonderful blessing time
ham,date sunday
spam,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,oh kim watch
ham,eh u remember 2 spell name yes v naughty make v wet
ham,fine thats way u feel thats way gota b
spam,england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txtú120 poboxox36504w45wq 16
ham,seriously spell name
ham,‘ go try 2 month ha ha joking
ham,ü pay first lar da stock comin
ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
ham,ffffffffff alright way meet sooner
ham,force eat slice im really hungry tho suck mark get worried know im sick turn pizza lol
ham,lol always convince
ham,catch bus fry egg make tea eating mom leave dinner feel love
ham,im back amp pack car ill let know theres room
ham,ahhh work vaguely remember feel like lol
ham,wait thats still clear sure sarcastic thats x doesnt want live u
ham,yeah get 2 v apologetic n fall actin like spoilt child get catch till 2 wont go badly cheer
ham,k tell anything
ham,fear faint housework quick cuppa
spam,thanks subscription ringtone uk mobile charge £5month please confirm reply yes reply charge
ham,yup ok go home look timing msg ü xuhui go learn 2nd may lesson 8am
ham,oops ill let know roommates do
ham,see letter b car
ham,anything lor u decide
ham,hello hows saturday go texting see youd decide anything tomo im try invite anything
ham,pls go ahead watts wanted sure great weekend abiola
ham,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 rodger burn msg try call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow
ham,see
ham,great hope like man well endow ltgt inch
ham,callsmessagesmissed call
ham,didnt get hep b immunisation nigeria
ham,fair enough anything go
ham,yeah hopefully tyler cant could maybe ask around bit
ham,u dont know stubborn didnt even want go hospital kept tell mark im weak sucker hospital weak sucker
ham,think first time saw class
ham,gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt
ham,k fyi x ride early tomorrow morning he crash place tonight
ham,wow never realize embarassed accomodations think like since best could always seem happy cave im sorry didnt dont give im sorry offer im sorry room embarassing
spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
ham,know mallika sherawat yesterday find lturlgt
spam,congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss
ham,sorry ill call later meeting
ham,tell reach
ham,yesgauti sehwag odi series
ham,gon na pick 1 burger way home cant even move pain killing
ham,ha ha ha good joke girl situation seeker
ham,part check iq
ham,sorry roommate take forever ok come
ham,ok lar double check wif da hair dresser already say wun cut v short say cut look nice
spam,value customer pleased advise follow recent review mob award £1500 bonus prize call 09066364589
ham,today song dedicate day song u dedicate send ur valuable frnds first rply
spam,urgent ur award complimentary trip eurodisinc trav acoentry41 £1000 claim txt dis 87121 186£150morefrmmob shracomorsglsuplt10 ls1 3aj
spam,hear new divorce barbie come ken stuff
ham,plane give month end
ham,wah lucky man save money hee
ham,finish class
ham,hi babe im home wan na something xx
ham,kkwhere youhow perform
ham,u call
ham,wait machan call free
ham,thats cool gentleman treat dignity respect
ham,like people much shy pa
ham,operate ltgt
ham,still look job much ta earn
ham,sorry ill call later
ham,k call ah
ham,ok way home hi hi
ham,place man
ham,yup next stop
ham,call later dont network urgnt sm
ham,real u get yo need 2 ticket one jacket im do already use multis
ham,yes start send request make pain come back im back bed double coin factory get ta cash nitros
ham,im really still tonight babe
ham,ela kanoil download come wen ur free
ham,yeah ‘ stand close tho ‘ catch something
ham,sorry pain ok meet another night spend late afternoon casualty mean havent do stuff42moro include time sheet sorry
ham,smile pleasure smile pain smile trouble pours like rain smile sum1 hurt u smile becoz someone still love see u smile
spam,please call customer service representative 0800 169 6031 10am9pm guarantee £1000 cash £5000 prize
ham,havent plan buy later check already lido get 530 show e afternoon u finish work already
spam,free ringtone wait collect simply text password mix 85069 verify get usher britney fml po box 5249 mk17 92h 450ppw 16
ham,watch telugu moviewat abt u
ham,see finish load loan pay
ham,hi wk ok hols yes bite run forget hairdresser appointment four need get home n shower beforehand cause prob u
ham,see cup coffee animation
ham,please dont text anymore nothing else say
ham,okay name ur price long legal wen pick u ave x am xx
ham,im still look car buy go 4the drive test yet
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
ham,wow youre right didnt mean guess give boston men change search location nyc something change cuz signin page still say boston
ham,umma life vava umma love lot dear
ham,thanks lot wish birthday thanks make birthday truly memorable
ham,aight ill hit get cash
ham,would ip address test consider computer isnt minecraft server
ham,know grumpy old people mom like good lying always one play joke
ham,dont worry guess he busy
ham,plural noun research
ham,go dinnermsg
ham,im ok wif co like 2 try new thing scar u dun like mah co u say loud
spam,gent try contact last weekend draw show £1000 prize guarantee call 09064012160 claim code k52 valid 12hrs 150ppm
ham,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen
ham,enter cabin pa say happy bday bos felt special askd 4 lunch lunch invite apartment go
spam,winner u specially select 2 receive £1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18
ham,goodo yes must speak friday eggpotato ratio tortilla need
ham,hmmmy uncle inform he pay school directly pls buy food
spam,private 2004 account statement 07742676969 show 786 unredeemed bonus point claim call 08719180248 identifier code 45239 expires
spam,urgent mobile award £2000 bonus caller prize 5903 final try contact u call landline 09064019788 box42wr29c 150ppm
ham,new address applespairsall malarky
spam,today voda number end 7548 select receive 350 award match please call 08712300220 quote claim code 4041 standard rate app
ham,go sao mu today do 12
ham,ü predict wat time üll finish buying
ham,good stuff
ham,knowyetunde hasnt send money yet send text bother send dont involve anything shouldnt impose anything first place apologise
ham,room
ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,kkhow much cost
ham,im home
ham,dear call tmorrowpls accomodate
ham,first answer question
spam,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 £150 sptyrone
spam,want 2 get lay tonight want real dogging location send direct 2 ur mob join uks large dog network bt txting gravel 69888 nt ec2a 31pmsg150p
